id_gen,date,scenario,value
46,2025-01-01 00:00:00,2,28.290248305999995
47,2025-01-01 00:00:00,2,11.001763230111111
48,2025-01-01 00:00:00,2,11.374704356555554
49,2025-01-01 00:00:00,2,10.122687717777778
50,2025-01-01 00:00:00,2,15.29058618422222
29,2025-01-01 00:00:00,2,22.245494486111113
31,2025-01-01 00:00:00,2,5.0811830208333335
36,2025-01-01 00:00:00,2,9.66215068888889
35,2025-01-01 00:00:00,2,9.66215068888889
26,2025-01-01 00:00:00,2,16.62873601388889
52,2025-01-01 00:00:00,2,3.768878548611111
23,2025-01-01 00:00:00,2,94.83739797222222
38,2025-01-01 00:00:00,2,21.814672402777777
55,2025-01-01 00:00:00,2,0.0
56,2025-01-01 00:00:00,2,0.0
57,2025-01-01 00:00:00,2,0.0
58,2025-01-01 00:00:00,2,0.0
60,2025-01-01 00:00:00,2,0.0
61,2025-01-01 00:00:00,2,0.0
25,2025-02-01 00:00:00,2,7.471007224708333
34,2025-02-01 00:00:00,2,5.612736392166668
43,2025-02-01 00:00:00,2,88.77983712204168
44,2025-02-01 00:00:00,2,51.57649657666667
59,2025-02-01 00:00:00,2,168.23039618683336
51,2025-02-01 00:00:00,2,57.568471914250004
24,2025-02-01 00:00:00,2,8.449956951027778
28,2025-02-01 00:00:00,2,8.979518285833331
30,2025-02-01 00:00:00,2,6.354736017666666
32,2025-02-01 00:00:00,2,4.558832360499999
33,2025-02-01 00:00:00,2,45.70344563430555
37,2025-02-01 00:00:00,2,15.242156680055553
40,2025-02-01 00:00:00,2,8.634152197916665
27,2025-02-01 00:00:00,2,18.69581755922222
39,2025-02-01 00:00:00,2,3.430636473305555
41,2025-02-01 00:00:00,2,8.449956951027778
42,2025-02-01 00:00:00,2,4.2364906784444445
45,2025-02-01 00:00:00,2,31.72763127661111
46,2025-02-01 00:00:00,2,24.451919024499997
47,2025-02-01 00:00:00,2,9.509079620638888
48,2025-02-01 00:00:00,2,9.831421302694444
49,2025-02-01 00:00:00,2,8.749274227222221
50,2025-02-01 00:00:00,2,13.216008964277776
29,2025-02-01 00:00:00,2,22.059991472222222
31,2025-02-01 00:00:00,2,3.9191689694444443
36,2025-02-01 00:00:00,2,10.771164381944445
35,2025-02-01 00:00:00,2,10.771164381944445
26,2025-02-01 00:00:00,2,16.939029305555554
52,2025-02-01 00:00:00,2,3.8392060680555553
23,2025-02-01 00:00:00,2,109.4055337638889
38,2025-02-01 00:00:00,2,30.293074180555553
55,2025-02-01 00:00:00,2,0.0
56,2025-02-01 00:00:00,2,0.0
57,2025-02-01 00:00:00,2,0.0
58,2025-02-01 00:00:00,2,0.0
60,2025-02-01 00:00:00,2,0.0
61,2025-02-01 00:00:00,2,0.0
25,2025-03-01 00:00:00,2,2.2529912691208334
34,2025-03-01 00:00:00,2,1.6926025778166667
43,2025-03-01 00:00:00,2,26.772855639654164
44,2025-03-01 00:00:00,2,15.553645309666665
59,2025-03-01 00:00:00,2,50.73233131888333
51,2025-03-01 00:00:00,2,17.360612926525
24,2025-03-01 00:00:00,2,17.205914164319445
